num_doc_cli,cod_tipo_doc_cli,cod_ejec_bco,num_doc_gte_inv,cod_gte_inv
792948952420445876,1,5011585778571550166,6522136206531577599,6348457127782643712
3972597626226801159,1,5011585778571550166,6522136206531577599,6348457127782643712
2753978090031414171,1,5011585778571550166,6522136206531577599,6348457127782643712
289615200991922439,1,5011585778571550166,6522136206531577599,6348457127782643712
3537185204720284636,1,5011585778571550166,6522136206531577599,6348457127782643712
7343907968318248721,1,5011585778571550166,6522136206531577599,6348457127782643712
843036031509774546,1,5011585778571550166,6522136206531577599,6348457127782643712
5975252870150256828,1,5011585778571550166,6522136206531577599,6348457127782643712
7334641823661489980,1,5011585778571550166,6522136206531577599,6348457127782643712
7313580311245038501,1,5011585778571550166,6522136206531577599,6348457127782643712
9078147741773265847,1,5011585778571550166,6522136206531577599,6348457127782643712
2553507982764309075,1,5011585778571550166,6522136206531577599,6348457127782643712
1674838744003098622,1,5011585778571550166,6522136206531577599,6348457127782643712
2819829239333399977,1,5011585778571550166,6522136206531577599,6348457127782643712
8367197413556121887,1,5011585778571550166,6522136206531577599,6348457127782643712
2620110485513164714,1,5011585778571550166,6522136206531577599,6348457127782643712
3299716272677878981,1,5011585778571550166,6522136206531577599,6348457127782643712
4539374205318555469,1,5011585778571550166,6522136206531577599,6348457127782643712
5840652593831676088,1,5011585778571550166,6522136206531577599,6348457127782643712
764343162760715360,1,5011585778571550166,6522136206531577599,6348457127782643712
3686996197891071818,1,5011585778571550166,6522136206531577599,6348457127782643712
708960013257975841,1,5011585778571550166,6522136206531577599,6348457127782643712
8699374131398911664,1,5011585778571550166,6522136206531577599,6348457127782643712
5065033875031267015,1,5011585778571550166,6522136206531577599,6348457127782643712
936079758878916895,1,5011585778571550166,6522136206531577599,6348457127782643712
2249628324226377305,1,5011585778571550166,6522136206531577599,6348457127782643712
4418049870937578550,1,5011585778571550166,6522136206531577599,6348457127782643712
87897984633958227,1,5011585778571550166,6522136206531577599,6348457127782643712
4378329938103806993,1,5011585778571550166,6522136206531577599,6348457127782643712
2810359154383872881,1,5011585778571550166,6522136206531577599,6348457127782643712
4333489374316630005,1,5011585778571550166,6522136206531577599,6348457127782643712
5756412255942256373,1,5011585778571550166,6522136206531577599,6348457127782643712
3384041895472714332,1,5011585778571550166,6522136206531577599,6348457127782643712
520086934472547327,1,5011585778571550166,6522136206531577599,6348457127782643712
6009863082691483911,1,5011585778571550166,6522136206531577599,6348457127782643712
2272923191127510086,1,5011585778571550166,6522136206531577599,6348457127782643712
671164509765198503,1,5011585778571550166,6522136206531577599,6348457127782643712
8856852910578586911,1,5011585778571550166,6522136206531577599,6348457127782643712
3050638139710001990,1,5011585778571550166,6522136206531577599,6348457127782643712
7519655624674493580,1,5011585778571550166,6522136206531577599,6348457127782643712
258670206335682183,1,5011585778571550166,6522136206531577599,6348457127782643712
1132344921256486531,1,5011585778571550166,6522136206531577599,6348457127782643712
622469030803087413,1,5011585778571550166,6522136206531577599,6348457127782643712
7484244387637058668,1,5011585778571550166,6522136206531577599,6348457127782643712
4070143397156417084,1,5011585778571550166,6522136206531577599,6348457127782643712
4921977176960305959,1,5011585778571550166,6522136206531577599,6348457127782643712
5081748667085856462,1,5011585778571550166,6522136206531577599,6348457127782643712
3636746541345004091,1,5011585778571550166,6522136206531577599,6348457127782643712
